dataset,episode_id,task,start_frame,end_frame,subtask,source,notes
mix_block_0528,000000,put the green block to the plate,0,183,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000001,put the yellow block to the plate,0,196,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000002,put the green block to the plate,0,159,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000003,put the yellow block to the plate,0,188,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000004,put the green block to the plate,0,135,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000005,put the yellow block to the plate,0,177,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000006,put the green block to the plate,0,176,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000007,put the yellow block to the plate,0,187,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000008,put the green block to the plate,0,169,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000009,put the yellow block to the plate,0,148,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000010,put the green block to the plate,0,161,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000011,put the yellow block to the plate,0,177,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000012,put the green block to the plate,0,155,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000013,put the yellow block to the plate,0,170,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000014,put the green block to the plate,0,174,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000015,put the yellow block to the plate,0,171,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000016,put the green block to the plate,0,161,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000017,put the yellow block to the plate,0,160,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000018,put the green block to the plate,0,158,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000019,put the yellow block to the plate,0,149,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000020,put the green block to the plate,0,151,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000021,put the yellow block to the plate,0,158,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000022,put the green block to the plate,0,170,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000023,put the yellow block to the plate,0,169,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000024,put the green block to the plate,0,149,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000025,put the yellow block to the plate,0,183,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000026,put the green block to the plate,0,169,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000027,put the yellow block to the plate,0,191,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000028,put the green block to the plate,0,199,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000029,put the yellow block to the plate,0,146,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000030,put the green block to the plate,0,155,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000031,put the yellow block to the plate,0,183,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000032,put the green block to the plate,0,154,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000033,put the yellow block to the plate,0,163,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000034,put the green block to the plate,0,178,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000035,put the yellow block to the plate,0,150,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000036,put the green block to the plate,0,180,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000037,put the yellow block to the plate,0,151,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000038,put the green block to the plate,0,208,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000039,put the yellow block to the plate,0,146,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000040,put the green block to the plate,0,158,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000041,put the yellow block to the plate,0,170,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000042,put the green block to the plate,0,180,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000043,put the yellow block to the plate,0,145,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000044,put the green block to the plate,0,164,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000045,put the yellow block to the plate,0,154,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000046,put the green block to the plate,0,189,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000047,put the yellow block to the plate,0,146,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000048,put the green block to the plate,0,185,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000049,put the yellow block to the plate,0,191,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000050,put the green block to the plate,0,176,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000051,put the yellow block to the plate,0,158,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000052,put the green block to the plate,0,194,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000053,put the yellow block to the plate,0,195,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000054,put the green block to the plate,0,198,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000055,put the yellow block to the plate,0,187,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000056,put the green block to the plate,0,188,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000057,put the yellow block to the plate,0,191,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000058,put the green block to the plate,0,159,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000059,put the yellow block to the plate,0,177,put_yellow_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
mix_block_0528,000060,put the green block to the plate,0,178,put_green_block_to_plate,auto,scheme=block_2cls_mix; whole_episode
