dataset,episode_id,task,start_frame,end_frame,subtask,source,notes
0528_green_block_mem,000000,put the green block to the plate,0,183,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000001,put the green block to the plate,0,159,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000002,put the green block to the plate,0,135,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000003,put the green block to the plate,0,176,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000004,put the green block to the plate,0,169,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000005,put the green block to the plate,0,161,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000006,put the green block to the plate,0,155,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000007,put the green block to the plate,0,174,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000008,put the green block to the plate,0,161,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000009,put the green block to the plate,0,158,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000010,put the green block to the plate,0,151,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000011,put the green block to the plate,0,170,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000012,put the green block to the plate,0,149,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000013,put the green block to the plate,0,169,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000014,put the green block to the plate,0,199,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000015,put the green block to the plate,0,155,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000016,put the green block to the plate,0,154,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000017,put the green block to the plate,0,178,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000018,put the green block to the plate,0,180,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000019,put the green block to the plate,0,208,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000020,put the green block to the plate,0,158,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000021,put the green block to the plate,0,180,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000022,put the green block to the plate,0,164,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000023,put the green block to the plate,0,189,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000024,put the green block to the plate,0,185,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000025,put the green block to the plate,0,176,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000026,put the green block to the plate,0,194,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000027,put the green block to the plate,0,198,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000028,put the green block to the plate,0,188,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000029,put the green block to the plate,0,159,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_green_block_mem,000030,put the green block to the plate,0,178,put_green_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000000,put the yellow block to the plate,0,196,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000001,put the yellow block to the plate,0,188,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000002,put the yellow block to the plate,0,177,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000003,put the yellow block to the plate,0,187,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000004,put the yellow block to the plate,0,148,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000005,put the yellow block to the plate,0,177,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000006,put the yellow block to the plate,0,170,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000007,put the yellow block to the plate,0,171,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000008,put the yellow block to the plate,0,160,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000009,put the yellow block to the plate,0,149,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000010,put the yellow block to the plate,0,158,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000011,put the yellow block to the plate,0,169,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000012,put the yellow block to the plate,0,183,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000013,put the yellow block to the plate,0,191,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000014,put the yellow block to the plate,0,146,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000015,put the yellow block to the plate,0,183,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000016,put the yellow block to the plate,0,163,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000017,put the yellow block to the plate,0,150,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000018,put the yellow block to the plate,0,151,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000019,put the yellow block to the plate,0,146,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000020,put the yellow block to the plate,0,170,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000021,put the yellow block to the plate,0,145,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000022,put the yellow block to the plate,0,154,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000023,put the yellow block to the plate,0,146,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000024,put the yellow block to the plate,0,191,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000025,put the yellow block to the plate,0,158,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000026,put the yellow block to the plate,0,195,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000027,put the yellow block to the plate,0,187,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000028,put the yellow block to the plate,0,191,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
0528_yellow_block_mem,000029,put the yellow block to the plate,0,177,put_yellow_block_to_plate,auto,scheme=block_2cls; whole_episode
